name,Nationality,Current status,gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,hair,height_in,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color,feet,inches,birth_age,death_age,birth_year,death_year,years_alive,series
Vanora Carridin,Amadician,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TSR 38,ACOS 15,NA,NA,NA,NA,NA,Unknown occupation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Vasha,Domani,Alive,Female,NA,TGS 13,TGS 13,White Tower,NA,Aes Sedai,NA,NA,NA,NA,Green,Green Ajah,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Akoure Vayet,Amadician,Alive,Female,Stout,WH Prologue,WH Prologue,White Tower,NA,Aes Sedai,NA,NA,KOD Prologue,NA,Brown,Gray Ajah,Dark,64,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,wot
Sierin Vayu,Unknown nationality,Dead,Female,Plump,NS 14,NS 14,NA,Amyrlin Seat,Aes Sedai,984 NE,NA,WH 10,736 NE,Hard,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,736,984,248,wot
Verine,Unknown nationality,Dead,Female,NA,TFOH 19,TFOH 19,White Tower,NA,Accepted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ronaille Vevanios,Illianer,Alive,Female,NA,LOC 55,LOC 55,The Dragon Reborn,NA,Aes Sedai,NA,NA,KOD Prologue,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Viendre,Aiel,Alive,Female,NA,WH Prologue,WH Prologue,NA,NA,NA,NA,NA,NA,NA,Blue,NA,NA,NA,Wise One,Goshien,Unknown sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Voniel,NA,Alive,Female,NA,NA,NA,NA,NA,NA,NA,LOC 20,LOC 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Sarainya Vostovan,Arafellin,Alive,Female,NA,ACOS 24,TPOD 28,The Kin,NA,Accepted,NA,NA,NA,924 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,924,NA,NA,wot
Elaiva Walfor,Andoran,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Companion,NA,806 NE,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,806,NA,NA,wot
Wallein din Onill,Atha'an Miere,Alive,Female,NA,KOD 22,KOD 22,Atha'an Miere,NA,First Twelve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Manda Wan,Unknown nationality,Alive,Female,NA,AMOL 37,AMOL 37,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Elin Warrel,Andoran,Alive,Female,Slender,NS 2,COT Prologue,White Tower,NA,Aes Sedai,NA,NA,NA,953 NE,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,953,NA,NA,wot
Wellin,Unknown nationality,Alive,Female,Stout,NS 6,NS 6,White Tower,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Clerk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Wyndera Ovan,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Companion,NA,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Susa Wynn,Murandian,Alive,Female,NA,NS 5,NS 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Xanthe,Midlander,NA,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Yabeth,Kandori,Alive,Female,NA,TOM Prologue,TOM Prologue,Kandor,NA,Lady,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Yanet,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TOM Prologue,TOM Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Yeteri,Unknown nationality,Alive,Female,Petite,TGS 40,TGS 40,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Yuan,Arafellin,Alive,Female,Slim,NS 9,NS 10,White Tower,NA,Aes Sedai,NA,NA,NA,NA,Gray,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Zakai,Seanchan,Alive,Female,NA,TPOD 24,TPOD 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Varilin Zanaire,Saldaean,Alive,Female,Slender,LOC 30,TOM 27,White Tower,NA,Aes Sedai,NA,LOC 13,NA,831 NE,NA,Gray Ajah,Red,74,Sitter,NA,NA,NA,NA,NA,NA,NA,6,2,NE,NA,831,NA,NA,wot
Zanica,Unknown nationality,Alive,Female,NA,NA,NA,Black Ajah,NA,Aes Sedai,NA,KOD Prologue,TGS Epilogue,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Devore Zarbayan,Saldaean,Alive,Female,Slim,KOD 15,KOD 16,NA,NA,Bannerwoman,NA,NA,NA,NA,Cool,NA,NA,NA,Queen's Guard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Seta Zarbey,Seanchan,Alive,Female,NA,TGH 45,TOM 17,NA,NA,Novice,NA,NA,NA,NA,Blue,NA,Yellow,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Zavion,Saldaean,Alive,Female,Sinewy,COT Prologue,COT Prologue,NA,Lady,NA,NA,NA,NA,NA,NA,NA,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Bethamin Zeami,Seanchan,Alive,Female,NA,TSR 38,TOM 17,White Tower,NA,Novice,NA,NA,NA,NA,Dark,NA,NA,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Sharmad Zeffar,Domani,Alive,Female,Plump,LOC Prologue,LOC Prologue,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Comarra Zepava,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,276 NE,TWORJTWOT,TWORJTWOT,NA,NA,Blue Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,276,NA,wot
Zera,Unknown nationality,NA,Female,NA,TGH 25,NA,NA,NA,NA,NA,NA,TGH 34,NA,NA,NA,White,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Asne Zeramene,Saldaean,Dead,Female,NA,TSR 38,KOD 33,Black Ajah,NA,Aes Sedai,1000 NE,NA,NA,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Asra Zigane,Domani,Alive,Female,NA,LOC 52,TPOD 28,The Kin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wise Woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Zorelle,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai (Age of Legends),NA,TSR 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Almindhra,Tova,Dead,Unknown gender,NA,NA,NA,NA,First Counselor of Tova,First Counselor,NA,TWORJTWOT,TWORJTWOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Lian (Hunter of the Horn),Unknown nationality,Deceased,Unknown gender,NA,NA,NA,NA,NA,NA,NA,TEOTW 17,NA,NA,NA,NA,NA,NA,Hunter of the Horn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Santhra,Unknown nationality,Dead,Unknown gender,NA,NA,NA,NA,NA,NA,NA,TGH 22,TGH 22,NA,NA,NA,NA,NA,Author,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Rhys a'Balaman,Murandian,Dead,Male,NA,KOD 13,KOD 13,House Marne,NA,NA,1000 NE,NA,KOD 35,NA,Stones,NA,NA,NA,Mercenary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Sedrin a'Conlin,Murandian,Alive,Male,NA,NS 5,NS 5,NA,NA,NA,NA,NA,NA,978 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,978,NA,NA,wot
Paitr do Fearna a'Conn,Murandian,Alive,Male,NA,TPOD 17,TPOD 17,NA,Lord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Donel do Morny a'Lordeine,Murandian,Alive,Male,NA,TPOD 17,TPOD 18,Murandy,Lord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Roedran Almaric do Arreloa a'Naloy,Murandian,Alive,Male,Corpulent,AMOL 5,AMOL 6,Murandy,King of Murandy,King,NA,TFOH 11,NA,NA,NA,NA,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Abar,Domani,NA,Male,Lean,KOD 8,NA,Valan Luca,NA,NA,NA,NA,KOD 11,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Logain Ablar,Ghealdanin,Alive,Male,NA,TEOTW 39,AMOL 48,Dragon Reborn,Sealbreaker,Asha'man,NA,TEOTW 3,NA,971 NE or 972 NE,NA,NA,Dark,74,Asha'man,NA,NA,NA,NA,NA,NA,NA,6,2,NE,NA,971,NA,NA,wot
Abors,Unknown nationality,Dead,Male,NA,AMOL 10,AMOL 14,The Shadow,NA,Asha'man,1000 NE,NA,NA,NA,NA,NA,NA,NA,Asha'man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Jurad Accan,Andoran,Alive,Male,NA,NA,NA,House Trakand,NA,NA,NA,COT 11,COT 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Adamad,Borderlander,Alive,Male,NA,TGS Prologue,TGS Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Farmer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Adan,NA,Dead,Male,NA,TSR 25,TSR 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jenn Aiel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Heran Adan,Andoran,Alive,Male,NA,NA,NA,NA,NA,NA,NA,TEOTW 13,TEOTW 14,NA,NA,NA,NA,NA,Governor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Bili Adarra,Andoran,Alive,Male,NA,KOD 26,KOD 26,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jaim Adarra,Unknown nationality,Alive,Male,NA,TDR 35,TDR 41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ship captain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Adden,Unknown nationality,Dead,Male,Large,TDR 39,TDR 39,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jonan Adley,Altaran,Dead,Male,NA,LOC 11,TPOD 24,The Dragon Reborn,NA,Soldier (Asha'man),1000 NE,NA,TPOD 27,NA,NA,NA,NA,NA,Asha'man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Admar,Unknown nationality,Alive,Male,NA,KOD 37,KOD 37,Band of the Red Hand,NA,Officer,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Admira,Tairen,Alive,Male,Stocky,WH 32,WH 32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Adrin,Saldaean,Dead,Male,NA,TGS 11,TGS 11,Davram Bashere,NA,NA,1000 NE,NA,NA,NA,NA,NA,Fair,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Adsalan,Unknown nationality,Dead,Male,NA,TGS 12,TGS 12,White Tower,Gaidin,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aedomon,Saferin,Dead,Male,NA,NA,NA,NA,King of Safer,King,NA,TSR 37,TSR 37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aeman Senhold,Amadician,NA,Male,NA,NA,NA,NA,Lord,General,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aemin,Cairhien,Alive,Male,Broad and stocky,TPOD 9,TOM 40,Perrin Aybara,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Farrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aemon al Caar al Thorin,Manetherenite,Dead,Male,NA,NA,NA,NA,King of Manetheren,Nobility,c. 1200 AB,TEOTW 9,TFOH 51,c. 1155 AB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AB,AB,1155,1200,45,wot
Teven Aerwin,Unknown nationality,Dead,Male,NA,NA,NA,NA,NA,NA,NA,TGH 5,TGH 5,NA,NA,NA,NA,NA,Author,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Lorstrum Aesnan,Cairhienin,Alive,Male,"Thin, lanky",TOM 50,TOM 52,Cairhien,Lord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aghan,Saldaean,Alive,Male,NA,KOD 27,KOD 27,Davram Bashere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aginor,NA,Dead,Male,NA,TEOTW 50,TEOTW 52,NA,NA,Chosen,998 NE,TEOTW 1,AMOL 18,Age of Legends,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AB,NE,-500,998,3983,wot
Haviar Agora,Tairen,Alive,Male,NA,NA,NA,Cha Faile,NA,NA,NA,COT 5,KOD 29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Kenley Ahan,Andoran,Dead,Male,NA,TEOTW Ravens,TSR 40,Two Rivers,NA,NA,999 NE,NA,TSR 43,979 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,979,999,20,wot
Ailron Rovere Lukan,Amadician,Dead,Male,Delicate,LOC Prologue,LOC Prologue,NA,"King and Defender of Amadicia, Guardian of the Southern Gate",King,1000 NE,TFOH 16,KOD 12,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Dermid Ajala,Tairen,Alive,Male,NA,TDR 50,TDR 53,NA,NA,NA,NA,NA,NA,NA,Pale blue,NA,Dark,NA,Blacksmith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ajimbura,Seanchan,Alive,Male,NA,COT 4,KOD 36,NA,NA,So'jhin,NA,NA,NA,NA,Blue,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Chin Akima,Unknown nationality,Dead,Male,NA,NA,NA,Chin Akima,NA,NA,999 NE,TFOH 36,TFOH 47,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,999,NA,wot
Kevrim al'Azar,Andoran,Alive,Male,NA,TSR 56,TSR 56,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Adan al'Caar,Andoran,Alive,Male,NA,NA,NA,Two Rivers,NA,NA,NA,TEOTW 2,TEOTW 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jac al'Caar,Andoran,Alive,Male,NA,TEOTW Ravens,TEOTW Ravens,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Paet al'Caar,Andoran,Alive,Male,NA,TEOTW Ravens,TSR 56,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Tod al'Caar,Andoran,Alive,Male,Lanky,ACOS 1,TGS 17,Perrin Aybara,NA,NA,NA,NA,TOM Prologue,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Wil al'Caar,Andoran,Alive,Male,NA,NA,NA,Two Rivers,NA,NA,NA,TEOTW 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Bili al'Dai,Andoran,Dead,Male,NA,TSR 33,TSR 40,Two Rivers,NA,NA,999 NE,NA,TSR 43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,999,NA,wot
Hu al'Dai,Andoran,Alive,Male,NA,TSR 43,TSR 43,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Lem al'Dai,Andoran,Alive,Male,NA,WH 6,WH 6,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Rad al'Dai,Andoran,Alive,Male,NA,ACOS 3,WH 6,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Had al'Lora,Andoran,Alive,Male,Lean,KOD 26,KOD 26,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Gren al'Mar,Andoran,NA,Male,NA,NA,NA,Two Rivers,NA,NA,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,Blacksmith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Master al'Meara,Andoran,Dead,Male,NA,NA,NA,NA,NA,NA,NA,TSR 46,NA,NA,NA,NA,NA,NA,Farmer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Montem al'San,Andoran,Alive,Male,NA,TOM 10,TOM 10,Perrin Aybara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ban al'Seen,Andoran,Alive,Male,NA,TSR 33,AMOL 15,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,Dark,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jac al'Seen,Andoran,Alive,Male,Stocky,TSR 32,TSR 56,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Saml al'Seen,Andoran,Alive,Male,NA,KOD Epilogue,KOD Epilogue,Black Tower,NA,Soldier (Asha'man),NA,NA,NA,NA,NA,NA,Dark,NA,Asha'man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Wil al'Seen,Andoran,Alive,Male,NA,TSR 32,TOM 40,Perrin Aybara,NA,NA,NA,TEOTW 25,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Wit al'Seen,Andoran,Alive,Male,Stocky,TSR 32,TSR 56,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Dael al'Taron,Andoran,Dead,Male,NA,TSR 40,TSR 40,Two Rivers,NA,NA,999 NE,NA,TSR 43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,999,NA,wot
Azi al'Thone,Andoran,Alive,Male,NA,TOM 10,TOM 53,Perrin Aybara,NA,NA,NA,TOM Prologue,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Dav al'Thone,Andoran,Alive,Male,NA,AMOL 15,AMOL 15,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Rand al'Thor,Andoran,Alive,Male,Muscular,TEOTW Ravens,AMOL Epilogue,NA,"Dragon Reborn, Coramoor, Car'a'carn, He Who Comes With the Dawn, Shadowkiller, King of Illian, Lord of the Morning",King,NA,NS 2,NA,2 Danu 978 NE,Gray-blue,NA,Red,78,NA,NA,NA,NA,"235 lbs, 16 st 11 lbs, 106.6 kg",NA,NA,NA,6, 6,NE,NA,978,NA,NA,wot
Tam al'Thor,Andoran,Alive,Male,NA,TEOTW Ravens,AMOL Epilogue,Perrin Aybara,Village Councilor,First Captain,NA,NA,NA,940 NE,NA,NA,Gray,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,940,NA,NA,wot
Alwyn al'Van,Andoran,Alive,Male,NA,NA,NA,Two Rivers,NA,NA,NA,TGH 2,TGH 2,NA,NA,NA,NA,NA,bootmaker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Bran al'Vere,Andoran,Alive,Male,NA,TEOTW Ravens,TSR 56,Two Rivers,Mayor,NA,NA,NA,AMOL 13,937 NE,Brown,NA,Gray,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,937,NA,NA,wot
Turak Aladon,Seanchan,Dead,Male,NA,TGH 29,TGH 45,NA,NA,High Lord,998 NE,NA,TGS 35,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,998,NA,wot
Alalved,Aiel,Foreseen,Male,NA,NA,NA,NA,NA,NA,NA,TOM 49,NA,NA,NA,NA,NA,NA,Clan chief,Tomanelle,Unknown sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alarch,Aiel,Foreseen,Male,NA,TOM 49,TOM 49,NA,Child of the Dragon,NA,NA,NA,NA,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aldan,Unknown nationality,Alive,Male,NA,NA,NA,Gareth Bryne,NA,Captain,NA,TGS 24,TGS 24,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Nalesean Aldiaya,Tairen,Dead,Male,Blocky,NA,ACOS 38,Band of the Red Hand,Lord,Banner-General,1000 NE,TFOH 44,AMOL 15,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Aldin,Amadician,Alive,Male,Square-shouldered,KOD 30,TOM 34,Perrin Aybara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gai'shain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Weilin Aldragoran,Malkier,Alive,Male,NA,KOD 20,TOM 23,Lan Mandragoran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alhandrin Torelvin,Cairhienin,Alive,Male,NA,NA,NA,Band of the Red Hand,NA,Officer,NA,LOC 5,LOC 5,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alhanra,Unknown nationality,Alive,Male,NA,NA,NA,Children of the Light,NA,NA,NA,AMOL 37,AMOL 37,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Furen Alharra,Tairen,Alive,Male,Lean,TPOD 7,KOD 30,The Dragon Reborn,Gaidin,NA,NA,LOC 43,NA,NA,Dark,NA,Black,NA,Warder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alijha,NA,Dead,Male,NA,TSR 25,TSR 25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Da'shain Aiel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
