Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Age in Years,Breed,Color
A664889,,10/14/2013 17:44,10/14/2013 17:44,10/10/2012,Adoption,,Dog,Spayed Female,1 year,1.012983257,Dachshund Mix,Black/Tan
A664871,Perla,10/14/2013 17:58,10/14/2013 17:58,8/10/2013,Adoption,,Dog,Spayed Female,2 months,0.180133181,Labrador Retriever Mix,Tan/White
A665082,Lucy,10/14/2013 18:11,10/14/2013 18:11,9/13/2010,Return to Owner,,Dog,Spayed Female,3 years,3.089746956,Pit Bull Mix,Brown Brindle/White
A664949,Lucy,10/14/2013 18:12,10/14/2013 18:12,7/29/2013,Adoption,,Dog,Spayed Female,2 months,0.21303653,Australian Cattle Dog Mix,Black/White
A663168,Archer,10/14/2013 18:44,10/14/2013 18:44,3/13/2012,Return to Owner,,Dog,Neutered Male,1 year,1.591179604,Catahoula Mix,Brown Merle
A664894,Charlie,10/14/2013 18:47,10/14/2013 18:47,8/10/2013,Adoption,,Dog,Spayed Female,2 months,0.180226408,Black Mouth Cur/Dachshund,Tan/White
A663554,Solstice,10/14/2013 18:54,10/14/2013 18:54,7/11/2013,Adoption,,Cat,Spayed Female,3 months,0.262431507,Domestic Shorthair Mix,Calico
A664529,*Magic,10/14/2013 19:10,10/14/2013 19:10,10/4/2011,Adoption,,Cat,Spayed Female,2 years,2.032324962,Domestic Shorthair Mix,Brown Tabby/White
A664776,,10/14/2013 23:58,10/14/2013 23:58,10/8/2012,Transfer,Partner,Dog,Intact Female,1 year,1.019174277,Labrador Retriever Mix,Brown/White
A665188,,10/15/2013 8:16,10/15/2013 8:16,9/14/2013,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,0.08587519,Bat,Brown/Black
A665189,,10/15/2013 9:52,10/15/2013 9:52,9/8/2013,Euthanasia,Suffering,Cat,Intact Male,1 month,0.102496195,Domestic Longhair Mix,Black/White
A665190,,10/15/2013 10:30,10/15/2013 10:30,10/15/1999,Euthanasia,Suffering,Cat,Neutered Male,14 years,14.01215753,Domestic Shorthair Mix,Black/White
A661132,*Fanta,10/15/2013 10:37,10/15/2013 10:37,6/1/2013,Adoption,,Cat,Spayed Female,4 months,0.373814688,Domestic Shorthair Mix,Cream Tabby
A661023,Lucky,10/15/2013 11:14,10/15/2013 11:14,8/15/2010,Adoption,Foster,Dog,Neutered Male,3 years,3.171145358,Miniature Poodle Mix,White
A664508,Shadow,10/15/2013 11:57,10/15/2013 11:57,10/4/2010,Return to Owner,,Dog,Neutered Male,3 years,3.034240868,Great Dane Mix,Black
A663288,*Chilli,10/15/2013 12:02,10/15/2013 12:02,9/16/2009,Transfer,Partner,Dog,Spayed Female,4 years,4.083565449,Pit Bull Mix,Brown Brindle/White
A664945,,10/15/2013 12:17,10/15/2013 12:17,10/11/2003,Euthanasia,Suffering,Dog,Intact Male,10 years,10.02058029,Cocker Spaniel,White/Tan
A663918,Maggie,10/15/2013 13:07,10/15/2013 13:07,9/26/2005,Transfer,Partner,Cat,Spayed Female,8 years,8.059031583,Domestic Longhair Mix,Black/White
A665005,,10/15/2013 13:09,10/15/2013 13:09,9/5/2013,Transfer,Partner,Cat,Intact Female,1 month,0.111090183,Domestic Shorthair Mix,Orange Tabby
A665205,,10/15/2013 13:10,10/15/2013 13:10,9/30/2013,Transfer,Partner,Cat,Intact Female,2 weeks,0.042598935,Domestic Shorthair Mix,Tortie
A665207,,10/15/2013 13:10,10/15/2013 13:10,9/30/2013,Transfer,Partner,Cat,Intact Female,2 weeks,0.042598935,Domestic Shorthair Mix,Tortie
A665208,,10/15/2013 13:10,10/15/2013 13:10,9/30/2013,Transfer,Partner,Cat,Intact Male,2 weeks,0.042598935,Domestic Shorthair Mix,Black
A663911,*Brian,10/15/2013 13:13,10/15/2013 13:13,9/26/2012,Transfer,Partner,Cat,Intact Male,1 year,1.053563546,Domestic Shorthair Mix,Blue
A664816,Tango,10/15/2013 13:16,10/15/2013 13:16,5/9/2013,Adoption,,Dog,Neutered Male,5 months,0.437130898,Redbone Hound Mix,Brown/Black
A664992,,10/15/2013 13:27,10/15/2013 13:27,4/12/2012,Transfer,Partner,Dog,Intact Female,1 year,1.511124429,Australian Cattle Dog Mix,Brown/Black
A664993,,10/15/2013 13:28,10/15/2013 13:28,10/5/2013,Transfer,Partner,Dog,Intact Female,1 weeks,0.028934551,Australian Cattle Dog Mix,Cream/White
A547803,Sheba,10/15/2013 13:29,10/15/2013 13:29,10/15/1996,Euthanasia,Suffering,Dog,Spayed Female,17 years,17.0124981,Cocker Spaniel,White/Brown
A664995,,10/15/2013 13:29,10/15/2013 13:29,10/5/2013,Transfer,Partner,Dog,Intact Male,1 weeks,0.028936454,Australian Cattle Dog Mix,Cream/White
A664996,,10/15/2013 13:30,10/15/2013 13:30,10/5/2013,Transfer,Partner,Dog,Intact Female,1 weeks,0.028938356,Australian Cattle Dog Mix,Tricolor
A664997,,10/15/2013 13:31,10/15/2013 13:31,10/5/2013,Transfer,Partner,Dog,Intact Male,1 weeks,0.028940259,Australian Cattle Dog Mix,Tricolor
A664998,,10/15/2013 13:31,10/15/2013 13:31,10/5/2013,Transfer,Partner,Dog,Intact Male,1 weeks,0.028940259,Australian Cattle Dog Mix,Black/White
A664999,,10/15/2013 13:32,10/15/2013 13:32,10/5/2013,Transfer,Partner,Dog,Intact Male,1 weeks,0.028942161,Australian Cattle Dog Mix,Black/White
A665001,,10/15/2013 13:33,10/15/2013 13:33,10/5/2013,Transfer,Partner,Dog,Intact Male,1 weeks,0.028944064,Australian Cattle Dog Mix,Brown/White
A665000,,10/15/2013 13:33,10/15/2013 13:33,10/5/2013,Transfer,Partner,Dog,Intact Male,1 weeks,0.028944064,Australian Cattle Dog Mix,Tan/Brown
A664922,,10/15/2013 13:46,10/15/2013 13:46,10/10/2010,Transfer,Partner,Dog,Spayed Female,3 years,3.018009893,Miniature Schnauzer,Silver
A664499,,10/15/2013 13:56,10/15/2013 13:56,10/4/2011,Transfer,Partner,Dog,Intact Female,2 years,2.034467275,Australian Cattle Dog Mix,Tricolor
A662115,*Riz,10/15/2013 14:31,10/15/2013 14:31,9/2/2005,Transfer,Partner,Dog,Spayed Female,8 years,8.124944825,Pit Bull Mix,Black/White
A665002,,10/15/2013 14:33,10/15/2013 14:33,10/5/2013,Transfer,Partner,Dog,Intact Female,1 weeks,0.029058219,Australian Cattle Dog Mix,Sable/White
A664497,,10/15/2013 15:04,10/15/2013 15:04,10/4/2011,Transfer,Partner,Dog,Intact Female,2 years,2.034596651,Rat Terrier/Australian Cattle Dog,Tricolor
A664890,Billy,10/15/2013 15:58,10/15/2013 15:58,10/10/2011,Return to Owner,,Dog,Neutered Male,2 years,2.018261035,Dachshund/English Bulldog,Brown
A665247,,10/15/2013 16:09,10/15/2013 16:09,10/15/2012,Euthanasia,Suffering,Other,Unknown,1 year,1.001843607,Skunk Mix,Black/White
A665235,,10/15/2013 16:10,10/15/2013 16:10,9/8/2013,Transfer,Partner,Dog,Intact Female,1 month,0.103215373,Australian Kelpie Mix,Tricolor
A665233,,10/15/2013 16:10,10/15/2013 16:10,9/8/2013,Transfer,Partner,Dog,Intact Female,1 month,0.103215373,Australian Kelpie Mix,Tricolor
A665232,,10/15/2013 16:10,10/15/2013 16:10,9/8/2013,Transfer,Partner,Dog,Intact Male,1 month,0.103215373,Australian Kelpie Mix,Tricolor
A665231,,10/15/2013 16:10,10/15/2013 16:10,9/8/2013,Transfer,Partner,Dog,Intact Male,1 month,0.103215373,Australian Kelpie Mix,Tricolor
A665239,,10/15/2013 16:11,10/15/2013 16:11,9/8/2013,Transfer,Partner,Dog,Intact Male,1 month,0.103217275,Australian Kelpie Mix,Tricolor
A665237,,10/15/2013 16:11,10/15/2013 16:11,9/8/2013,Transfer,Partner,Dog,Intact Male,1 month,0.103217275,Australian Kelpie Mix,Sable/White
A665236,,10/15/2013 16:11,10/15/2013 16:11,9/8/2013,Transfer,Partner,Dog,Intact Female,1 month,0.103217275,Australian Kelpie Mix,Tricolor
A665240,,10/15/2013 16:11,10/15/2013 16:11,9/8/2013,Transfer,Partner,Dog,Intact Female,1 month,0.103217275,Australian Kelpie Mix,Sable/White
A665238,,10/15/2013 16:11,10/15/2013 16:11,9/8/2013,Transfer,Partner,Dog,Intact Male,1 month,0.103217275,Australian Kelpie Mix,Sable/White
A663330,Angel,10/15/2013 16:18,10/15/2013 16:18,9/19/2005,Adoption,,Dog,Spayed Female,8 years,8.078573059,Chihuahua Shorthair Mix,Black/White
A664824,Bella,10/15/2013 16:56,10/15/2013 16:56,10/9/2008,Adoption,,Dog,Spayed Female,5 years,5.021111111,German Shepherd Mix,Black
A664361,Deeohhgee,10/15/2013 17:14,10/15/2013 17:14,10/2/2012,Adoption,,Dog,Spayed Female,1 year,1.037583714,Pit Bull Mix,Tan/Black
A665244,Latte,10/15/2013 17:23,10/15/2013 17:23,10/15/2000,Euthanasia,Suffering,Dog,Neutered Male,13 years,13.01020358,Miniature Poodle Mix,Brown
A664934,Seymour,10/15/2013 17:25,10/15/2013 17:25,10/11/2011,Return to Owner,,Dog,Neutered Male,2 years,2.015686834,Parson Russell Terrier Mix,White/Brown
A664957,Toby,10/15/2013 17:27,10/15/2013 17:27,4/11/2012,Adoption,,Dog,Neutered Male,1 year,1.514320776,Chihuahua Longhair Mix,Black/Brown
A650104,Katie,10/15/2013 17:28,10/15/2013 17:28,3/24/2010,Euthanasia,Suffering,Dog,Intact Female,3 years,3.566377473,Australian Kelpie Mix,Black/Tan
A641215,Tootsie,10/15/2013 17:34,10/15/2013 17:34,11/4/2010,Return to Owner,,Dog,Spayed Female,2 years,2.949950533,Pit Bull Mix,Black
A664930,,10/15/2013 17:41,10/15/2013 17:41,7/15/2013,Adoption,,Cat,Spayed Female,3 months,0.25407344,Maine Coon Mix,Brown Tabby
A665159,Skipper,10/15/2013 17:43,10/15/2013 17:43,10/14/2010,Return to Owner,,Dog,Neutered Male,3 years,3.007501903,German Shepherd Mix,Sable
A664903,Rebel,10/15/2013 17:51,10/15/2013 17:51,10/10/2011,Adoption,,Dog,Neutered Male,2 years,2.018476027,Dachshund/Pembroke Welsh Corgi,Red/White
A665097,Brittney,10/15/2013 17:58,10/15/2013 17:58,10/13/2006,Euthanasia,Suffering,Dog,Intact Female,7 years,7.013009893,Great Dane,Fawn/Tan
A664906,Charlie,10/15/2013 18:00,10/15/2013 18:00,10/10/2012,Adoption,,Cat,Spayed Female,1 year,1.015753425,Abyssinian Mix,Torbie
A664883,Esperanza,10/15/2013 18:02,10/15/2013 18:02,10/10/2007,Adoption,,Dog,Spayed Female,6 years,6.021236682,Maltese Mix,White
A661133,*Kyo,10/15/2013 18:06,10/15/2013 18:06,6/1/2013,Adoption,,Cat,Neutered Male,4 months,0.37466895,Domestic Shorthair Mix,Cream Tabby
A661910,*Sammie,10/15/2013 18:13,10/15/2013 18:13,10/14/2011,Adoption,,Dog,Spayed Female,2 years,2.00755898,Labrador Retriever Mix,Black
A657415,Perla,10/15/2013 18:29,10/15/2013 18:29,6/27/2011,Return to Owner,,Dog,Spayed Female,2 years,2.306219559,Bull Terrier Mix,White
A664761,,10/15/2013 18:37,10/15/2013 18:37,10/8/2012,Adoption,,Cat,Spayed Female,1 year,1.021303272,Domestic Shorthair Mix,Brown Tabby/White
A664760,,10/15/2013 18:37,10/15/2013 18:37,10/8/2012,Adoption,,Cat,Neutered Male,1 year,1.021303272,Domestic Shorthair Mix,Brown Tabby/White
A641748,Champ,10/15/2013 18:43,10/15/2013 18:43,11/12/2008,Return to Owner,,Dog,Neutered Male,4 years,4.928164003,Doberman Pinsch Mix,Black/Tan
A665252,,10/15/2013 18:44,10/15/2013 18:44,8/15/2013,Euthanasia,Suffering,Cat,Intact Male,1 month,0.169261796,Domestic Shorthair Mix,Brown Tabby
A658735,Ruby,10/15/2013 18:59,10/15/2013 18:59,7/14/2012,Return to Owner,,Dog,Spayed Female,1 year,1.256961568,Dachshund/Cardigan Welsh Corgi,Red/White
A665256,Jerry,10/15/2013 19:02,10/15/2013 19:02,10/15/2012,Euthanasia,Suffering,Cat,Neutered Male,1 year,1.002172755,Domestic Shorthair Mix,Orange Tabby/White
A658734,Heidi,10/15/2013 19:02,10/15/2013 19:02,7/14/2010,Return to Owner,,Dog,Spayed Female,3 years,3.259707002,Dachshund Longhair/Cardigan Welsh Corgi,Red
A664882,Casper,10/15/2013 19:03,10/15/2013 19:03,4/10/2012,Adoption,,Dog,Neutered Male,1 year,1.517243151,Great Pyrenees Mix,White
A665255,,10/15/2013 19:03,10/15/2013 19:03,10/15/2011,Disposal,,Other,Unknown,2 years,2.004914384,Bat Mix,Brown
A660458,*Aztec,10/15/2013 19:03,10/15/2013 19:03,8/7/2012,Adoption,,Dog,Neutered Male,1 year,1.191215753,Border Collie/Anatol Shepherd,White/Brown
A665004,Doogle,10/15/2013 19:21,10/15/2013 19:21,10/12/2004,Return to Owner,,Dog,Neutered Male,9 years,9.015907534,Skye Terrier Mix,Black/Gray
A663132,*Gracie,10/16/2013 11:09,10/16/2013 11:09,9/12/2008,Transfer,Partner,Dog,Spayed Female,5 years,5.097163242,Weimaraner Mix,Blue
A665223,Boss,10/16/2013 11:24,10/16/2013 11:24,4/15/2012,Transfer,Partner,Dog,Intact Male,1 year,1.505410959,Golden Retriever,Gold/Buff
A349334,Grunt,10/16/2013 11:47,10/16/2013 11:47,6/1/2002,Return to Owner,,Dog,Neutered Male,11 years,11.38490677,Labrador Retriever/Siberian Husky,Black/White
A665298,,10/16/2013 11:50,10/16/2013 11:50,10/1/2013,Transfer,Partner,Cat,Intact Female,2 weeks,0.042446728,Domestic Medium Hair Mix,Blue
A665300,,10/16/2013 11:50,10/16/2013 11:50,10/1/2013,Transfer,Partner,Cat,Intact Male,2 weeks,0.042446728,Domestic Medium Hair Mix,Blue
A625400,Chuy,10/16/2013 11:50,10/16/2013 11:50,4/24/2011,Return to Owner,,Dog,Neutered Male,2 years,2.483542618,Pit Bull Mix,White/Brown
A665299,,10/16/2013 11:50,10/16/2013 11:50,10/1/2013,Transfer,Partner,Cat,Intact Female,2 weeks,0.042446728,Domestic Medium Hair Mix,Blue
A665297,,10/16/2013 11:50,10/16/2013 11:50,10/1/2013,Transfer,Partner,Cat,Intact Female,2 weeks,0.042446728,Domestic Medium Hair Mix,Blue
A665291,,10/16/2013 11:51,10/16/2013 11:51,10/16/2013,Transfer,Partner,Cat,Unknown,0 years,0.00135274,Domestic Shorthair Mix,Gray
A665292,,10/16/2013 11:52,10/16/2013 11:52,10/16/2013,Transfer,Partner,Cat,Intact Male,0 years,0.001354642,Domestic Shorthair Mix,Cream
A664777,*Billy,10/16/2013 13:21,10/16/2013 13:21,10/8/2012,Adoption,,Dog,Neutered Male,1 year,1.023441781,Yorkshire Terrier/Chihuahua Shorthair,Black/Tan
A661314,Momma,10/16/2013 13:33,10/16/2013 13:33,8/19/2011,Adoption,,Cat,Spayed Female,2 years,2.163190639,Domestic Shorthair Mix,White/Black
A662461,Wednesday,10/16/2013 14:20,10/16/2013 14:20,9/3/2011,Return to Owner,,Dog,Spayed Female,2 years,2.12218417,Border Collie Mix,Black/White
A665230,Marley,10/16/2013 16:16,10/16/2013 16:16,10/15/2010,Return to Owner,,Dog,Spayed Female,3 years,3.007336377,Labrador Retriever Mix,Yellow
A665325,,10/16/2013 16:20,10/16/2013 16:20,7/16/2013,Transfer,Partner,Dog,Intact Female,3 months,0.25391933,Pit Bull Mix,Black/White
A664937,,10/16/2013 16:44,10/16/2013 16:44,10/11/2012,Transfer,Partner,Other,Intact Male,1 year,1.015608828,Californian Mix,Lilac Point
A664938,,10/16/2013 16:44,10/16/2013 16:44,10/11/2012,Transfer,Partner,Other,Intact Male,1 year,1.015608828,Californian Mix,Seal Point
A665199,,10/16/2013 16:51,10/16/2013 16:51,4/15/2013,Transfer,SCRP,Cat,Intact Female,6 months,0.506033105,Domestic Shorthair Mix,Torbie/White
A665200,,10/16/2013 16:51,10/16/2013 16:51,4/15/2013,Transfer,SCRP,Cat,Intact Female,6 months,0.506033105,Domestic Shorthair Mix,Orange Tabby/White
A665201,,10/16/2013 16:52,10/16/2013 16:52,4/15/2013,Transfer,SCRP,Cat,Intact Male,6 months,0.506035008,Domestic Shorthair Mix,Orange Tabby/White
A664983,,10/16/2013 16:58,10/16/2013 16:58,10/12/2012,Adoption,,Dog,Spayed Female,1 year,1.012895738,Labrador Retriever Mix,Chocolate
A663555,Amelia,10/16/2013 17:01,10/16/2013 17:01,7/11/2013,Adoption,,Cat,Spayed Female,3 months,0.267695967,Domestic Shorthair Mix,Calico
A665224,Jet,10/16/2013 17:04,10/16/2013 17:04,4/15/2012,Transfer,Partner,Dog,Intact Male,1 year,1.506057839,Flat Coat Retriever Mix,Black/White
A664779,*Lacey,10/16/2013 17:05,10/16/2013 17:05,4/9/2013,Transfer,Partner,Dog,Intact Female,6 months,0.522498097,Black/Tan Hound/Labrador Retriever,Black/Tan
A664782,*Lucille,10/16/2013 17:05,10/16/2013 17:05,4/9/2013,Transfer,Partner,Dog,Intact Female,6 months,0.522498097,Labrador Retriever/Black/Tan Hound,Yellow
A664050,*Aloysius,10/16/2013 17:06,10/16/2013 17:06,6/28/2013,Transfer,Partner,Dog,Neutered Male,3 months,0.303321918,Labrador Retriever Mix,White
A664309,*Romo,10/16/2013 17:07,10/16/2013 17:07,10/1/2012,Transfer,Partner,Dog,Intact Male,1 year,1.043049848,Chihuahua Shorthair Mix,Tan
A665165,Charlie,10/16/2013 17:08,10/16/2013 17:08,10/14/2008,Adoption,,Dog,Neutered Male,5 years,5.010175038,Miniature Poodle Mix,Apricot
A664931,Chester,10/16/2013 17:09,10/16/2013 17:09,10/11/2012,Transfer,Partner,Dog,Intact Male,1 year,1.015656393,Rat Terrier Mix,White/Brown
A664510,*Gizzmo,10/16/2013 17:10,10/16/2013 17:10,8/1/2013,Adoption,,Cat,Neutered Male,2 months,0.210178843,Domestic Longhair Mix,Blue/White
A664932,,10/16/2013 17:11,10/16/2013 17:11,10/15/2010,Transfer,Partner,Dog,Intact Female,3 years,3.00744102,Chihuahua Longhair Mix,White/Brown
A664916,*Phoenix,10/16/2013 17:12,10/16/2013 17:12,5/10/2012,Transfer,Partner,Dog,Intact Male,1 year,1.437579909,Pug Mix,Brown/White
A664229,*Baltazar,10/16/2013 17:14,10/16/2013 17:14,9/30/2009,Adoption,,Dog,Neutered Male,4 years,4.048542618,German Shepherd Mix,Black
A665234,Salsa,10/16/2013 17:23,10/16/2013 17:23,10/15/2012,Return to Owner,,Dog,Spayed Female,1 year,1.004724125,Alaskan Husky Mix,White
A662568,Memphis,10/16/2013 17:36,10/16/2013 17:36,8/14/2013,Adoption,,Cat,Neutered Male,2 months,0.174611872,Domestic Medium Hair Mix,Black
A665012,Cookie,10/16/2013 17:39,10/16/2013 17:39,7/12/2013,Adoption,,Dog,Spayed Female,3 months,0.265028539,Pit Bull Mix,Fawn
A664943,*Leo,10/16/2013 17:46,10/16/2013 17:46,12/31/2009,Adoption,,Dog,Neutered Male,3 years,3.796548706,Labrador Retriever Mix,Black
A665141,Crixus,10/16/2013 17:49,10/16/2013 17:49,10/14/2012,Return to Owner,,Dog,Neutered Male,1 year,1.007513318,Siberian Husky Mix,Black/White
A665007,Dexter,10/16/2013 18:19,10/16/2013 18:19,5/12/2013,Adoption,,Dog,Neutered Male,5 months,0.43222793,Australian Shepherd Mix,Buff/White
A665022,,10/16/2013 18:29,10/16/2013 18:29,8/5/2013,Adoption,,Cat,Spayed Female,2 months,0.199370244,Domestic Shorthair Mix,Calico
A665144,,10/16/2013 18:31,10/16/2013 18:31,12/14/2012,Transfer,Partner,Dog,Intact Male,10 months,0.840469939,Boxer Mix,Brown Brindle/White
A664605,Diesel,10/16/2013 18:34,10/16/2013 18:34,4/5/2010,Return to Owner,,Dog,Spayed Female,3 years,3.536366058,Pointer Mix,White/Brown
A665366,,10/16/2013 18:40,10/16/2013 18:40,10/9/2013,Transfer,Partner,Dog,Intact Female,1 week,0.02130898,Labrador Retriever Mix,Cream
A665367,,10/16/2013 18:40,10/16/2013 18:40,10/9/2013,Transfer,Partner,Dog,Intact Female,1 week,0.02130898,Labrador Retriever Mix,Cream
A665368,,10/16/2013 18:40,10/16/2013 18:40,10/9/2013,Transfer,Partner,Dog,Intact Female,1 week,0.02130898,Labrador Retriever Mix,Cream
A665370,,10/16/2013 18:41,10/16/2013 18:41,10/9/2013,Transfer,Partner,Dog,Intact Male,1 week,0.021310883,Labrador Retriever Mix,Sable
A664970,,10/16/2013 18:41,10/16/2013 18:41,8/14/2013,Adoption,,Cat,Neutered Male,2 months,0.17473554,Domestic Shorthair Mix,Orange Tabby
A665371,,10/16/2013 18:41,10/16/2013 18:41,10/9/2013,Transfer,Partner,Dog,Intact Female,1 week,0.021310883,Labrador Retriever Mix,Black/White
A665369,,10/16/2013 18:41,10/16/2013 18:41,10/9/2013,Transfer,Partner,Dog,Intact Male,1 week,0.021310883,Labrador Retriever Mix,Cream
A665372,,10/16/2013 18:41,10/16/2013 18:41,10/9/2013,Transfer,Partner,Dog,Intact Female,1 week,0.021310883,Labrador Retriever Mix,Black/White
A665373,,10/16/2013 18:41,10/16/2013 18:41,10/9/2013,Transfer,Partner,Dog,Intact Male,1 week,0.021310883,Labrador Retriever Mix,Black/White
A664971,,10/16/2013 18:43,10/16/2013 18:43,8/14/2013,Adoption,,Cat,Neutered Male,2 months,0.174739346,Domestic Shorthair Mix,Orange Tabby
A664881,Minnie,10/16/2013 18:45,10/16/2013 18:45,12/15/2012,Adoption,,Dog,Spayed Female,10 months,0.837756849,Chihuahua Longhair Mix,Tan
A653703,*Poodle,10/17/2013 8:41,10/17/2013 8:41,5/9/2008,Adoption,Foster,Dog,Neutered Male,5 years,5.444826865,Miniature Poodle,Tan
A665317,,10/17/2013 8:44,10/17/2013 8:44,10/16/2011,Euthanasia,Rabies Risk,Other,Unknown,2 years,2.006476408,Bat Mix,Brown
A660951,*Bevo,10/17/2013 9:01,10/17/2013 9:01,7/8/2013,Adoption,Foster,Cat,Neutered Male,3 months,0.277741629,Domestic Shorthair Mix,Orange Tabby/White
A663135,*Max,10/17/2013 9:05,10/17/2013 9:05,9/13/2008,Adoption,Foster,Dog,Neutered Male,5 years,5.096927321,German Shepherd Mix,Brown/Black
A664818,Levi,10/17/2013 11:12,10/17/2013 11:12,10/9/2012,Adoption,,Dog,Neutered Male,1 year,1.023196347,Labrador Retriever Mix,Black
A664671,Lucky,10/17/2013 11:16,10/17/2013 11:16,10/7/1999,Return to Owner,,Dog,Intact Male,14 years,14.03964231,Siberian Husky Mix,Black/White
A665222,Marley,10/17/2013 11:25,10/17/2013 11:25,8/2/2013,Adoption,,Dog,Neutered Male,2 months,0.209522451,Jack Russell Terrier Mix,White/Brown
A658168,*Baxter,10/17/2013 11:51,10/17/2013 11:51,7/7/2012,Adoption,,Dog,Neutered Male,1 year,1.280804795,Pit Bull Mix,Black/White
A664820,*Joe,10/17/2013 12:50,10/17/2013 12:50,10/9/1999,Transfer,Partner,Cat,Neutered Male,14 years,14.0343417,Domestic Shorthair Mix,Black/White
A568980,Polly,10/17/2013 13:32,10/17/2013 13:32,3/19/2004,Return to Owner,,Dog,Spayed Female,9 years,9.587846271,Blue Lacy Mix,Tan
A665387,,10/17/2013 13:32,10/17/2013 13:32,10/2/2013,Transfer,Partner,Cat,Intact Female,2 weeks,0.042640791,Domestic Shorthair Mix,Tortie
A665388,,10/17/2013 13:32,10/17/2013 13:32,10/2/2013,Transfer,Partner,Cat,Intact Male,2 weeks,0.042640791,Domestic Shorthair Mix,Cream Tabby
A665404,Bella,10/17/2013 13:33,10/17/2013 13:33,10/17/2009,Return to Owner,,Dog,Spayed Female,4 years,4.00428653,Boxer Mix,Brown/White
A664188,Blue,10/17/2013 14:38,10/17/2013 14:38,3/30/2012,Return to Owner,,Dog,Neutered Male,1 year,1.552355403,Pit Bull Mix,Blue/White
A663667,*Cody,10/17/2013 15:33,10/17/2013 15:33,9/22/2011,Euthanasia,Behavior,Dog,Neutered Male,2 years,2.073007991,American Staffordshire Terrier Mix,White/Brown
A664211,*Arnold,10/17/2013 15:34,10/17/2013 15:34,8/30/2013,Transfer,Partner,Cat,Intact Male,1 month,0.133283866,Domestic Medium Hair,Blue Tabby
A664212,*Charlie,10/17/2013 15:35,10/17/2013 15:35,8/30/2013,Transfer,Partner,Cat,Intact Male,1 month,0.133285769,Domestic Longhair Mix,Blue Tabby
A664213,*Meyer,10/17/2013 15:38,10/17/2013 15:38,8/30/2013,Transfer,Partner,Cat,Intact Male,1 month,0.133291476,Domestic Medium Hair Mix,Blue
A664867,*Xenia,10/17/2013 15:41,10/17/2013 15:41,10/10/2012,Adoption,,Dog,Spayed Female,1 year,1.020968417,Chihuahua Shorthair/Manchester Terrier,Black/Tan
A665080,,10/17/2013 16:35,10/17/2013 16:35,6/13/2013,Transfer,Partner,Dog,Neutered Male,4 months,0.347098554,Border Collie Mix,Black/White
A665113,,10/17/2013 17:03,10/17/2013 17:03,3/14/2013,Adoption,,Dog,Spayed Female,7 months,0.596466895,Dachshund Wirehair Mix,Tan
A665411,Aquiles,10/17/2013 17:11,10/17/2013 17:11,10/17/2007,Return to Owner,,Dog,Intact Male,6 years,6.00744102,Pit Bull Mix,Fawn/Blue
A662399,Skye,10/17/2013 17:20,10/17/2013 17:20,8/10/2013,Adoption,Foster,Cat,Spayed Female,2 months,0.188280061,Domestic Shorthair Mix,Lynx Point
A662405,Scarlett,10/17/2013 17:20,10/17/2013 17:20,8/10/2013,Adoption,Foster,Cat,Spayed Female,2 months,0.188280061,Domestic Shorthair Mix,Black
A663803,Zoey,10/17/2013 17:26,10/17/2013 17:26,9/24/2009,Adoption,Foster,Dog,Spayed Female,4 years,4.067743531,Australian Cattle Dog Mix,Blue Merle
A664707,Stevie,10/17/2013 17:45,10/17/2013 17:45,2/7/2013,Adoption,,Dog,Spayed Female,8 months,0.692437215,Border Collie Mix,Black/White
A665103,,10/17/2013 17:48,10/17/2013 17:48,10/13/2011,Adoption,,Dog,Neutered Male,2 years,2.015730594,Cardigan Welsh Corgi/Australian Kelpie,Black/Tan
A665303,,10/17/2013 17:58,10/17/2013 17:58,10/16/2007,Transfer,SCRP,Cat,Neutered Male,6 years,6.010270167,Domestic Medium Hair Mix,Black/White
A661830,Amalia,10/17/2013 17:58,10/17/2013 17:58,8/25/2012,Transfer,SCRP,Cat,Intact Female,1 year,1.147256469,Domestic Medium Hair Mix,Torbie
A665268,,10/17/2013 17:59,10/17/2013 17:59,4/16/2013,Transfer,SCRP,Cat,Intact Female,6 months,0.506162481,Domestic Shorthair Mix,Brown Tabby
A665278,,10/17/2013 17:59,10/17/2013 17:59,2/15/2013,Transfer,SCRP,Cat,Intact Female,8 months,0.670546043,Domestic Shorthair Mix,Tortie
A665280,,10/17/2013 17:59,10/17/2013 17:59,10/15/2012,Transfer,SCRP,Cat,Intact Female,1 year,1.007532344,Domestic Shorthair Mix,Orange Tabby/White
A661788,Taz,10/17/2013 18:08,10/17/2013 18:08,8/25/2011,Return to Owner,,Dog,Neutered Male,2 years,2.150015221,Pit Bull Mix,Black/White
A665432,,10/17/2013 18:41,10/17/2013 18:41,10/17/2011,Euthanasia,Rabies Risk,Other,Unknown,2 years,2.004872527,Bat Mix,Brown
A665003,Prof Griffin,10/17/2013 18:42,10/17/2013 18:42,10/12/2012,Adoption,,Dog,Neutered Male,1 year,1.015833333,Chihuahua Shorthair Mix,Tricolor
A664444,*Tudor,10/17/2013 18:54,10/17/2013 18:54,8/12/2013,Adoption,,Cat,Neutered Male,2 months,0.182979452,Domestic Shorthair Mix,Blue Tabby/White
